index,review,ability,aspects
20,"Great variety of phones, and the staff was very patient with my questions.","{0: [('staff', 'was patient with questions'), ('variety', 'was patient with questions')]}","{'staff': ['staff was patient with questions.'], 'variety': ['variety was patient with questions.']}"
21,"The process was super simple, and I’m thrilled with my new phone.","{0: [('I', 'm thrilled'), ('process', 'was simple')]}",{'process': ['process was simple.']}
22,"They helped me choose a phone within my budget, which I really appreciated.","{0: [('they', 'helped choose within budget'), ('they', 'helped choose phone')]}",{'phone': ['they helped choose phone.']}
23,"My phone was fixed in less than 30 minutes, such fast service!","{0: [('phone', 'was fixed in minutes')]}",{'phone': ['phone was fixed in minutes.']}
24,I’m a loyal customer because their customer service is always outstanding.,"{0: [('I', 'm'), ('service', 'is outstanding')]}",{'service': ['I m. service is outstanding.']}
25,"Best phone store in town, hands down!","{0: [('store', 'hands')]}",{'hands': ['store hands.']}
26,The staff made sure I was completely comfortable with my purchase.,"{0: [('staff', 'made'), ('I', 'was comfortable with purchase')]}",{'staff': ['staff made.']}
27,"I found exactly what I needed, and they helped me get a great deal.","{0: [('they', 'helped get great deal'), ('I', 'found needed what')]}",{'deal': ['they helped get great deal.']}
28,This store has a fantastic warranty service!,"{0: [('store', 'has fantastic service')]}","{'service': ['store has fantastic service.'], 'store': ['store has fantastic service.']}"
29,"The staff was very informative, I learned a lot about phone features I didn’t know about.","{0: [('I', 'learned lot about features'), ('staff', 'was informative')]}","{'lot': ['I learned lot about features.'], 'staff': ['staff was informative.']}"
30,"Excellent store for buying phone accessories, so much variety!","{0: [('store', 'store be Excellent'), ('variety', 'store be Excellent')]}","{'store': ['store store be Excellent.', 'store store be Excellent.', 'variety store be Excellent.']}"
32,"They were super quick in setting up my phone, I was out of there in no time.","{0: [('they', 'were quick in setting phone')]}",{'phone': ['they were quick in setting phone.']}
34,The store layout is easy to navigate and staff are always ready to help.,"{0: [('staff', 'are ready'), ('layout', 'is easy')]}","{'staff': ['staff are ready.'], 'layout': ['layout is easy.']}"
35,"Best pricing for phone plans, they helped me save a lot!","{0: [('they', 'helped save lot')]}",{'lot': ['they helped save lot.']}
36,"I’ve been to many phone stores, but this one by far provides the best service.","{0: [('one', 'provides best service'), ('I', 'been to many stores')]}",{'service': ['one provides best service.']}
37,"Customer service here is top-notch, they always resolve my issues quickly.","{0: [('service', 'is notch'), ('they', 'always resolve issues'), ('they', 'always resolve quickly'), ('service', 'is top notch')]}","{'service': ['service is notch.', 'service is top notch.']}"
38,"I always recommend this store to friends and family, they never fail to impress.","{0: [('they', 'not fail recommend to family'), ('they', 'not fail recommend store'), ('they', 'not fail recommend to friends')]}",{'store': ['they not fail recommend store.']}
39,"The staff took the time to show me all my options, no pressure sales.","{0: [('staff', 'took time')]}","{'time': ['staff took time.'], 'staff': ['staff took time.']}"
40,Amazing place to buy the latest phones at great prices!,"{0: [('place', 'place be Amazing')]}","{'place': ['place place be Amazing.', 'place place be Amazing.']}"
41,"Their warranty plan is worth every penny, such a relief!","{0: [('plan', 'is worth')]}",{'plan': ['plan is worth.']}
42,I appreciate how they were able to fix my phone on the same day.,"{0: [('they', 'were able')]}",{'staff': ['they were able.']}
44,The staff was very accommodating when I had questions about phone features.,"{0: [('staff', 'was accommodating')]}",{'staff': ['staff was accommodating.']}
45,I had a great experience with their trade-in program.,"{0: [('I', 'had great experience with program')]}",{'experience': ['I had great experience with program.']}
46,"Service was quick and efficient, I was in and out within 15 minutes!","{0: [('service', 'was efficient'), ('service', 'was quick')]}","{'service': ['service was efficient.', 'service was quick.']}"
47,They even helped me transfer all my contacts and data without extra charge.,"{0: [('they', 'even helped data'), ('they', 'even helped transfer contacts'), ('they', 'even helped transfer without extra charge')]}",{'extra charge': ['they even helped transfer without extra charge.']}
48,My phone has been working flawlessly since I bought it from here.,"{0: [('I', 'bought from here'), ('phone', 'has working flawlessly'), ('I', 'bought it')]}",{'phone': ['phone has working flawlessly.']}
49,They fixed my screen perfectly and even gave me a discount on the repair.,"{0: [('they', 'even gave discount on repair'), ('they', 'fixed perfectly'), ('they', 'fixed screen')]}",{'discount': ['they even gave discount on repair.']}
50,"This is my go-to store for any phone issues, always reliable.","{0: [('this', 'is reliable')]}",{'store': ['this is reliable.']}
51,They offer fantastic promotions and discounts!,"{0: [('they', 'offer fantastic promotions'), ('they', 'offer discounts')]}","{'staff': ['they offer fantastic promotions.', 'they offer discounts.'], 'promotions': ['they offer fantastic promotions.'], 'discounts': ['they offer discounts.']}"
52,Great phone selection and even better customer service.,"{0: [('service', 'selection be phone'), ('selection', 'selection be Great'), ('service', 'selection be Great'), ('selection', 'selection be phone')]}","{'selection': ['service selection be phone.', 'selection selection be Great.', 'selection selection be Great.', 'service selection be Great.', 'selection selection be phone.', 'selection selection be phone.']}"
53,They resolved my issue very quickly and professionally.,"{0: [('they', 'resolved very quickly professionally'), ('they', 'resolved issue')]}",{'issue': ['they resolved issue.']}
54,I love how organized the store is and how fast they attend to customers.,"{0: [('store', 'is organized'), ('they', 'fast attend to customers')]}",{'store': ['store is organized.']}
55,Highly recommend this store if you’re looking for good deals on phones!,"{0: [('you', 're looking for good deals')]}",{'deals': ['you re looking for good deals.']}
56,I always leave this store feeling like I made the right purchase.,"{0: [('I', 'made right purchase'), ('I', 'always leave store')]}","{'purchase': ['I made right purchase.'], 'store': ['I always leave store.']}"
57,"I received excellent advice from the sales team, they really know their products.","{0: [('they', 'really know received excellent advice from team'), ('they', 'really know products')]}","{'staff': ['they really know received excellent advice from team.', 'they really know products.'], 'advice': ['they really know received excellent advice from team.'], 'team': ['they really know received excellent advice from team.'], 'products': ['they really know products.']}"
58,"Very happy with the repair service here, my phone looks brand new!","{0: [('phone', 'looks new')]}",{'phone': ['phone looks new.']}
59,"I had to wait over an hour to be helped, and the staff wasn’t apologetic at all.","{0: [('staff', 'was not apologetic'), ('I', 'had to wait over hour')]}",{'staff': ['staff was not apologetic.']}
61,"Their prices are too high, and the selection is limited.","{0: [('selection', 'is limited'), ('price', 'are high')]}","{'selection': ['selection is limited.'], 'price': ['price are high.']}"
62,"Customer service is poor, no one seemed interested in helping me.","{0: [('one', 'seemed'), ('service', 'is poor')]}",{'service': ['service is poor.']}
63,"I had a terrible experience, the phone they sold me was defective.","{0: [('phone', 'was defective')]}",{'phone': ['phone was defective.']}
64,"The staff was rude and unhelpful, I’m never coming back.","{0: [('staff', 'was rude'), ('I', 'm not coming back'), ('staff', 'was unhelpful')]}","{'staff': ['staff was rude.', 'staff was unhelpful.']}"
65,"They charged me extra for services I didn’t need, felt like a scam.","{0: [('they', 'charged extra for services'), ('they', 'charged me'), ('they', 'felt like scam')]}","{'staff': ['they charged extra for services.', 'they charged me.', 'they felt like scam.'], 'services': ['they charged extra for services.'], 'scam': ['they felt like scam.']}"
66,"Phone repairs took way too long, I had to come back multiple times.","{0: [('I', 'had took way'), ('I', 'had took too long')]}","{'store': ['I had took way.', 'I had took too long.'], 'way': ['I had took way.']}"
67,"I bought a phone, but they didn’t inform me of all the hidden fees.","{0: [('they', 'did not inform me'), ('I', 'bought phone'), ('they', 'did not inform of hidden fees')]}",{'phone': ['I bought phone.']}
68,Staff seemed untrained and gave me incorrect information about the phone plan.,"{0: [('staff', 'seemed'), ('staff', 'gave incorrect information about plan')]}","{'staff': ['staff seemed.', 'staff gave incorrect information about plan.']}"
69,"Their warranty is useless, they refused to fix my phone under it.","{0: [('warranty', 'is useless'), ('they', 'refused')]}",{'warranty': ['warranty is useless.']}
70,I had to return a faulty phone twice before they finally gave me a refund.,"{0: [('they', 'twice gave refund'), ('I', 'had to return faulty phone')]}","{'refund': ['they twice gave refund.'], 'phone': ['I had to return faulty phone.']}"
71,"Very disorganized, I waited forever just to get a simple issue resolved.","{0: [('I', 'very disorganized waited forever')]}",{'store': ['I very disorganized waited forever.']}
73,"They refused to honor the promotion I came in for, very misleading.","{0: [('they', 'refused to honor promotion')]}",{'promotion': ['they refused to honor promotion.']}
74,I felt pressured to buy accessories I didn’t need.,"{0: [('I', 'felt pressured')]}",{'store': ['I felt pressured.']}
75,"The repair was done poorly, and my phone broke again within a week.","{0: [('repair', 'was done poorly'), ('phone', 'broke again'), ('phone', 'broke within week')]}","{'repair': ['repair was done poorly.'], 'phone': ['phone broke again.', 'phone broke within week.']}"
76,"Customer service was extremely slow, they need to hire more staff.","{0: [('they', 'need'), ('service', 'was slow')]}",{'service': ['service was slow.']}
77,They didn’t even check if my phone was working after the repair.,"{0: [('phone', 'was working after repair')]}",{'phone': ['phone was working after repair.']}
78,"Terrible experience, my phone still has the same issue after getting it 'fixed'.","{0: [('phone', 'still has same issue after getting')]}","{'same issue': ['phone still has same issue after getting.'], 'phone': ['phone still has same issue after getting.']}"
79,"They upsold me on a phone plan I didn’t need, very deceptive.","{0: [('they', 'upsold me'), ('they', 'upsold on plan')]}","{'staff': ['they upsold me.', 'they upsold on plan.'], 'plan': ['they upsold on plan.']}"
80,The staff was unprofessional and seemed like they didn’t want to be there.,"{0: [('they', 'did not want'), ('staff', 'was unprofessional')]}",{'staff': ['staff was unprofessional.']}
81,"Their return policy is awful, I couldn’t exchange my phone despite its defects.","{0: [('I', 'could not exchange despite defects'), ('I', 'could not exchange phone'), ('policy', 'is awful')]}","{'phone': ['I could not exchange phone.'], 'policy': ['policy is awful.']}"
82,They didn’t apply the discount I was promised.,"{0: [('they', 'did not apply discount')]}",{'discount': ['they did not apply discount.']}
83,The store was messy and understaffed.,"{0: [('store', 'was understaffed'), ('store', 'was messy')]}","{'store': ['store was understaffed.', 'store was messy.']}"
84,"My phone broke down just after the warranty expired, very frustrating.","{0: [('phone', 'broke'), ('warranty', 'just expired')]}",{'warranty': ['warranty just expired.']}
85,They kept trying to sell me more expensive phones when I clearly stated my budget.,"{0: [('they', 'kept trying')]}",{'staff': ['they kept trying.']}
86,"The repair job was incomplete, and they refused to refund me.","{0: [('they', 'refused to refund me'), ('job', 'was incomplete')]}",{'job': ['job was incomplete.']}
87,Their customer service representatives were extremely rude on the phone.,"{0: [('representative', 'were rude on phone')]}",{'representative': ['representative were rude on phone.']}
88,"I had to call multiple times just to get a response, very unprofessional.","{0: [('I', 'had to call multiple times')]}",{'multiple times': ['I had to call multiple times.']}
89,They didn’t explain anything clearly and rushed me through the purchase.,"{0: [('they', 'rushed through purchase'), ('they', 'did not explain clearly'), ('they', 'did not explain anything'), ('they', 'rushed me')]}","{'staff': ['they rushed through purchase.', 'they did not explain clearly.', 'they did not explain anything.', 'they rushed me.'], 'purchase': ['they rushed through purchase.']}"
90,"I regret buying from here, their post-purchase support is non-existent.","{0: [('support', 'is non')]}",{'support': ['support is non.']}
91,"Phone stopped working just outside the return window, terrible quality.","{0: [('phone', 'stopped quality'), ('phone', 'stopped working outside window')]}","{'phone': ['phone stopped quality.', 'phone stopped working outside window.']}"
92,"The store was chaotic, with long lines and unhelpful staff.","{0: [('store', 'was with long lines'), ('store', 'was with unhelpful staff'), ('store', 'was chaotic')]}","{'long lines': ['store was with long lines.'], 'staff': ['store was with unhelpful staff.'], 'store': ['store was with long lines.', 'store was with unhelpful staff.', 'store was chaotic.']}"
93,They didn’t even have the phone I wanted in stock after promising me it was available.,"{0: [('it', 'was available'), ('they', 'did not even have after promising me'), ('they', 'did not even have phone')]}",{'phone': ['they did not even have phone.']}
94,"Terrible follow-up, they lost my repair order, and I had to start over.","{0: [('they', 'lost order')]}",{'order': ['they lost order.']}
95,I felt overcharged for a simple screen repair.,"{0: [('I', 'felt overcharged')]}",{'store': ['I felt overcharged.']}
97,"The technician damaged my phone during the repair, and they didn’t take responsibility.","{0: [('they', 'did not take responsibility'), ('technician', 'damaged during repair'), ('technician', 'damaged phone')]}","{'technician': ['technician damaged during repair.', 'technician damaged phone.'], 'phone': ['technician damaged phone.']}"
